open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1758499200000,115183.90,115183.90,115143.20,115166.30,66.583,1758499259999,7667432.44330,1775,22.079,2542522.24080,0
1758499260000,115166.30,115166.40,115136.50,115155.40,99.462,1758499319999,11453201.57630,1387,26.502,3051687.00650,0
1758499320000,115155.50,115253.50,115155.40,115253.50,47.324,1758499379999,5451903.61870,1669,40.010,4609388.28510,0
1758499380000,115253.50,115320.20,115253.40,115297.50,88.673,1758499439999,10224313.46620,1836,51.891,5982928.85450,0
1758499440000,115297.50,115309.00,115250.50,115250.50,32.638,1758499499999,3762679.50390,1090,6.959,802352.56580,0
1758499500000,115250.60,115295.40,115250.60,115295.40,23.861,1758499559999,2750748.89190,1204,9.718,1120261.16230,0
1758499560000,115295.30,115317.60,115295.30,115317.60,12.430,1758499619999,1433228.65970,647,10.050,1158795.14410,0
1758499620000,115317.60,115334.40,115317.50,115334.30,26.221,1758499679999,3023809.67020,724,18.716,2158334.02660,0
1758499680000,115334.40,115334.40,115258.20,115258.20,36.462,1758499739999,4204087.55280,1274,3.024,348677.94630,0
1758499740000,115258.20,115258.20,115229.50,115229.50,19.150,1758499799999,2206848.33210,600,5.424,625036.38450,0
1758499800000,115229.60,115280.10,115229.50,115280.00,20.404,1758499859999,2351551.19060,1030,16.658,1919841.87330,0
1758499860000,115280.00,115319.50,115280.00,115314.10,26.773,1758499919999,3087274.72550,1134,7.235,834231.12900,0
1758499920000,115314.10,115344.60,115288.40,115288.40,41.884,1758499979999,4830449.32000,1318,19.765,2279452.03240,0
1758499980000,115288.40,115297.20,115277.20,115277.20,13.231,1758500039999,1525346.26660,668,3.093,356579.76060,0
1758500040000,115277.30,115277.30,115229.70,115229.70,22.643,1758500099999,2609675.12530,943,4.800,553138.65390,0
1758500100000,115229.70,115229.70,115166.70,115211.40,60.624,1758500159999,6983271.87720,1793,35.525,4091945.22320,0
1758500160000,115211.40,115251.80,115211.30,115251.80,27.044,1758500219999,3116242.77460,942,13.028,1501108.09960,0
1758500220000,115251.80,115277.10,115251.70,115277.00,10.359,1758500279999,1194015.23990,530,7.449,858590.58290,0
1758500280000,115277.00,115277.10,115166.90,115167.00,53.268,1758500339999,6136627.08430,1609,2.926,337065.86230,0
1758500340000,115166.90,115167.00,115103.20,115162.80,199.431,1758500399999,22960297.33700,2949,35.581,4096600.24370,0
1758500400000,115162.90,115178.80,115150.00,115150.10,42.844,1758500459999,4933892.14880,1428,22.596,2602107.47520,0
1758500460000,115150.00,115150.30,115120.80,115124.90,34.332,1758500519999,3952839.07070,1161,11.174,1286555.04770,0
1758500520000,115124.90,115152.00,115124.90,115135.40,47.047,1758500579999,5416904.72480,1251,31.016,3571114.40240,0
1758500580000,115135.30,115135.50,115116.40,115135.50,31.726,1758500639999,3652593.82310,961,14.763,1699656.56070,0
1758500640000,115135.40,115140.00,115083.70,115140.00,201.579,1758500699999,23202894.96150,3614,100.735,11595755.92170,0
1758500700000,115140.00,115224.80,115137.60,115224.70,49.149,1758500759999,5660795.41090,1572,40.953,4716872.18920,0
1758500760000,115224.70,115240.40,115131.40,115131.50,81.896,1758500819999,9434100.56920,2082,18.336,2112762.72000,0
1758500820000,115131.50,115141.20,115108.90,115108.90,29.816,1758500879999,3432421.59660,1097,12.985,1494874.65390,0
1758500880000,115108.90,115146.00,115090.70,115129.40,63.860,1758500939999,7351112.49160,1765,31.569,3634163.26030,0
1758500940000,115129.50,115137.90,115129.40,115129.50,22.541,1758500999999,2595226.03620,536,5.650,650491.65820,0
1758501000000,115129.40,115129.40,115071.00,115089.50,107.449,1758501059999,12366113.87320,2471,31.983,3680739.12540,0
1758501060000,115089.60,115118.80,115032.00,115032.10,252.117,1758501119999,29006240.32590,4109,68.047,7829233.74130,0
1758501120000,115032.00,115032.10,114800.00,114811.10,2002.025,1758501179999,230048063.95440,26370,462.692,53155374.87780,0
1758501180000,114811.10,114921.40,114737.00,114781.80,1183.355,1758501239999,135870181.71660,16244,434.494,49888135.08430,0
1758501240000,114781.80,114952.60,114781.80,114936.20,682.374,1758501299999,78387998.06610,12541,459.475,52783884.03620,0
1758501300000,114936.20,114975.10,114776.20,114780.90,734.355,1758501359999,84361796.78980,12001,252.823,29045036.78940,0
1758501360000,114780.80,114812.60,114650.00,114717.10,1100.213,1758501419999,126204974.05970,14565,439.513,50419904.01050,0
1758501420000,114717.10,114812.10,114717.10,114803.90,455.343,1758501479999,52260021.11210,7067,338.672,38870783.01340,0
1758501480000,114804.00,114838.90,114705.90,114706.00,165.821,1758501539999,19035558.68160,4955,90.411,10379850.89980,0
1758501540000,114705.90,114739.10,114641.80,114713.10,244.986,1758501599999,28093559.77940,5587,98.380,11282563.17720,0
1758501600000,114713.00,114731.70,114666.10,114698.40,166.947,1758501659999,19147778.18500,3700,57.012,6539091.23430,0
1758501660000,114698.40,114800.20,114698.40,114800.10,155.186,1758501719999,17807928.18990,3789,114.823,13176508.72130,0
1758501720000,114800.10,114915.10,114800.00,114815.70,322.920,1758501779999,37094529.01630,6016,203.583,23386915.30240,0
1758501780000,114815.70,114840.10,114790.30,114805.80,127.320,1758501839999,14617807.69170,2698,47.607,5465876.65300,0
1758501840000,114805.80,114812.50,114745.10,114794.90,99.693,1758501899999,11442153.39850,2840,33.142,3803773.57700,0
1758501900000,114795.00,114856.00,114776.90,114796.00,109.831,1758501959999,12610367.02380,3319,69.833,8018283.77680,0
1758501960000,114796.00,114796.10,114661.00,114723.40,330.282,1758502019999,37886296.44470,5200,105.925,12149488.56350,0
1758502020000,114723.40,114746.40,114634.90,114677.20,309.229,1758502079999,35459318.34220,4894,91.639,10507344.58890,0
1758502080000,114677.20,114695.70,114540.00,114652.90,672.550,1758502139999,77073712.26960,10119,155.295,17797202.59980,0
1758502140000,114653.00,114667.00,114504.40,114558.50,432.318,1758502199999,49523014.37310,7091,114.631,13131430.42890,0
1758502200000,114558.50,114576.00,114307.60,114328.00,1094.082,1758502259999,125231869.88770,15933,222.291,25447234.59740,0
1758502260000,114329.30,114395.50,114122.00,114357.90,1862.628,1758502319999,212823222.83660,26852,652.890,74614897.62660,0
1758502320000,114358.00,114551.40,114358.00,114520.30,442.468,1758502379999,50653716.91280,8220,388.731,44501511.03930,0
1758502380000,114520.20,114580.70,114461.30,114484.10,264.477,1758502439999,30286367.40650,6042,190.976,21869674.17810,0
1758502440000,114484.10,114505.80,114438.50,114486.80,115.386,1758502499999,13208526.09250,3523,74.815,8564094.20350,0
1758502500000,114486.90,114503.60,114450.00,114468.60,88.704,1758502559999,10153867.88750,2633,48.404,5540676.54480,0
1758502560000,114468.60,114490.30,114307.00,114337.90,336.814,1758502619999,38527530.00890,6022,76.124,8709728.08310,0
1758502620000,114338.30,114411.10,114328.00,114397.90,192.509,1758502679999,22017048.33780,4257,137.573,15734681.79540,0
1758502680000,114397.90,114508.80,114390.70,114480.30,156.358,1758502739999,17897432.23970,3998,108.183,12382437.68320,0
1758502740000,114480.30,114480.30,114335.80,114335.90,159.732,1758502799999,18273261.60850,3345,47.600,5446147.46070,0
1758502800000,114335.80,114346.20,114226.70,114335.00,520.953,1758502859999,59536162.39060,9985,168.469,19253339.41240,0
1758502860000,114334.90,114364.10,114242.60,114262.00,226.915,1758502919999,25934669.62200,5344,85.111,9728224.68810,0
1758502920000,114262.00,114300.00,114236.00,114297.40,164.473,1758502979999,18793033.65310,4434,93.464,10679732.05590,0
1758502980000,114297.40,114347.20,114257.30,114336.00,128.314,1758503039999,14665896.73150,3944,90.142,10303208.55980,0
1758503040000,114335.90,114482.50,114320.50,114425.30,171.706,1758503099999,19645714.87630,5073,120.661,13805060.67980,0
1758503100000,114425.30,114491.60,114388.40,114480.90,139.272,1758503159999,15937771.96280,3639,67.979,7780007.54520,0
1758503160000,114480.80,114480.80,114400.00,114409.80,74.092,1758503219999,8479460.08200,2916,35.107,4017695.45380,0
1758503220000,114409.90,114414.20,114300.00,114339.10,98.494,1758503279999,11262218.83600,2990,42.150,4819649.60100,0
1758503280000,114339.10,114351.90,114300.60,114300.70,113.612,1758503339999,12989220.22430,3108,55.584,6355071.47790,0
1758503340000,114300.60,114372.60,114297.20,114344.50,73.448,1758503399999,8397635.13080,2568,36.382,4159738.06270,0
1758503400000,114344.40,114380.40,114293.30,114324.80,108.562,1758503459999,12411752.50260,3344,42.182,4822586.65500,0
1758503460000,114324.80,114344.80,114298.20,114322.00,77.880,1758503519999,8903333.41390,2520,27.996,3200479.86030,0
1758503520000,114321.90,114435.60,114321.90,114431.40,133.662,1758503579999,15288512.14020,3359,104.999,12009945.78300,0
1758503580000,114431.40,114519.30,114389.10,114519.20,139.705,1758503639999,15992707.95480,3373,114.976,13162274.41810,0
1758503640000,114519.30,114578.60,114510.70,114559.50,189.630,1758503699999,21720732.55320,3106,90.696,10388362.10490,0
1758503700000,114559.50,114618.30,114518.50,114618.30,258.554,1758503759999,29620184.37150,4547,154.789,17734089.90500,0
1758503760000,114618.20,114621.30,114525.00,114533.00,186.784,1758503819999,21402772.19090,3841,61.492,7045604.36820,0
1758503820000,114533.10,114533.10,114437.80,114491.90,263.747,1758503879999,30191746.50070,4328,182.514,20892275.92830,0
1758503880000,114491.80,114548.50,114489.30,114489.40,311.843,1758503939999,35713541.73210,3779,126.101,14440860.22500,0
1758503940000,114489.30,114489.30,114393.80,114435.40,84.072,1758503999999,9620065.02520,3029,26.124,2989144.00030,0
1758504000000,114435.50,114501.50,114435.50,114480.80,70.981,1758504059999,8125153.67130,2654,29.048,3324971.60940,0
1758504060000,114480.90,114502.70,114450.20,114469.20,50.511,1758504119999,5782159.25390,1965,30.825,3528529.83500,0
1758504120000,114469.10,114539.90,114469.10,114539.90,61.083,1758504179999,6994765.24190,2540,29.347,3360623.59570,0
1758504180000,114539.90,114539.90,114493.90,114521.00,51.893,1758504239999,5942541.47700,1616,30.207,3459228.13840,0
1758504240000,114521.00,114521.00,114437.10,114437.20,44.036,1758504299999,5040654.81120,1500,10.745,1229953.12810,0
1758504300000,114437.20,114534.50,114437.10,114534.50,188.446,1758504359999,21573667.50510,3550,167.968,19229487.92330,0
1758504360000,114534.60,114598.40,114534.50,114588.00,84.100,1758504419999,9634931.79160,2143,58.961,6754412.56740,0
1758504420000,114588.00,114629.40,114555.20,114588.20,144.252,1758504479999,16531786.77740,2624,80.463,9221210.72600,0
1758504480000,114588.20,114593.90,114512.70,114589.80,188.018,1758504539999,21540966.10300,3107,78.506,8994475.32870,0
1758504540000,114589.80,114600.00,114531.80,114593.70,211.237,1758504599999,24201596.05580,3260,128.687,14743264.42600,0
1758504600000,114593.70,114597.50,114499.10,114507.50,98.048,1758504659999,11232179.84670,2422,24.792,2840022.34940,0
1758504660000,114507.70,114589.20,114490.00,114589.20,153.787,1758504719999,17613236.38820,2845,109.251,12512504.12080,0
