open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1760486400000,112983.90,112999.70,112937.40,112967.70,70.783,1760486459999,7996120.73250,2925,29.973,3385879.06440,0
1760486460000,112967.70,112971.50,112925.50,112971.50,53.279,1760486519999,6017741.82820,2194,20.906,2361284.15480,0
1760486520000,112971.50,112971.50,112887.10,112887.10,49.111,1760486579999,5545443.41160,2108,10.287,1161756.60390,0
1760486580000,112887.20,112935.10,112887.10,112897.20,112.215,1760486639999,12670053.75730,3393,44.768,5054550.15230,0
1760486640000,112897.20,112913.10,112888.30,112889.60,57.611,1760486699999,6504093.60850,1960,20.474,2311415.77780,0
1760486700000,112889.60,112986.60,112889.60,112956.00,159.893,1760486759999,18061694.97800,3417,84.135,9503381.60790,0
1760486760000,112955.90,112956.00,112905.00,112923.20,100.954,1760486819999,11400535.94330,3334,25.018,2824982.19720,0
1760486820000,112923.10,112944.50,112917.30,112937.30,59.742,1760486879999,6746693.40770,1932,30.145,3404222.01110,0
1760486880000,112937.30,112996.80,112937.20,112996.70,40.484,1760486939999,4573642.86440,1963,25.941,2930522.40390,0
1760486940000,112996.60,112996.80,112967.20,112978.90,46.382,1760486999999,5240429.15360,1438,31.912,3605460.40780,0
1760487000000,112978.80,112978.80,112765.80,112783.50,145.369,1760487059999,16403111.29380,4269,34.307,3870436.90760,0
1760487060000,112783.50,112783.60,112724.00,112765.00,99.883,1760487119999,11262190.77560,3252,43.110,4860670.35850,0
1760487120000,112764.90,112780.70,112718.50,112758.70,75.132,1760487179999,8471505.04310,3187,42.238,4762679.28910,0
1760487180000,112758.60,112805.00,112734.80,112772.60,63.896,1760487239999,7205423.87530,2409,44.196,4983820.35730,0
1760487240000,112772.50,112784.70,112740.00,112740.00,59.596,1760487299999,6719644.60970,2152,30.861,3479594.68870,0
1760487300000,112740.10,112796.90,112732.30,112787.60,64.669,1760487359999,7292886.48060,1981,27.238,3071372.06690,0
1760487360000,112787.60,112787.70,112703.60,112709.90,101.331,1760487419999,11425953.19360,2365,19.378,2185004.65520,0
1760487420000,112709.90,112726.30,112680.70,112714.50,82.484,1760487479999,9295823.29730,2556,42.802,4823678.01140,0
1760487480000,112714.50,112757.00,112696.40,112696.60,47.462,1760487539999,5350104.81680,1984,16.635,1875173.85330,0
1760487540000,112696.50,112725.30,112691.60,112701.50,31.650,1760487599999,3567083.22540,1526,13.365,1506272.79100,0
1760487600000,112701.50,112713.90,112677.10,112706.10,89.913,1760487659999,10132854.03750,2022,21.308,2401301.56400,0
1760487660000,112706.10,112731.90,112698.50,112700.00,58.705,1760487719999,6616625.11190,1675,44.525,5018302.80110,0
1760487720000,112700.00,112750.00,112679.60,112750.00,63.397,1760487779999,7144911.92490,2233,40.120,4521692.80420,0
1760487780000,112749.90,112755.40,112706.10,112720.90,59.294,1760487839999,6684610.32680,2683,26.410,2977383.97930,0
