open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1753574400000,117889.30,117926.00,117889.20,117912.10,39.633,1753574459999,4673354.60500,1096,25.909,3055026.36740,0
1753574460000,117912.10,117912.10,117862.30,117862.30,29.205,1753574519999,3442984.84520,813,2.673,315095.66660,0
1753574520000,117862.40,117880.00,117862.30,117871.10,63.438,1753574579999,7477524.69030,899,40.535,4777771.31060,0
1753574580000,117871.20,117871.20,117862.30,117862.30,27.468,1753574639999,3237560.93280,553,3.770,444348.40240,0
1753574640000,117862.30,117862.40,117855.00,117855.10,23.978,1753574699999,2826065.92090,556,7.008,825969.03680,0
1753574700000,117855.00,117858.70,117840.30,117846.20,101.712,1753574759999,11986747.68210,1574,48.856,5757576.03020,0
1753574760000,117846.30,117846.30,117832.00,117845.60,58.556,1753574819999,6900115.49440,1033,17.891,2108166.36460,0
1753574820000,117845.60,117871.20,117845.50,117871.10,37.104,1753574879999,4372852.51060,917,30.800,3629866.65950,0
1753574880000,117871.20,117872.80,117813.80,117813.80,59.140,1753574939999,6969435.49930,1273,19.355,2280874.06100,0
1753574940000,117813.90,117813.90,117800.80,117801.80,39.970,1753574999999,4708590.72010,780,8.975,1057272.76080,0
1753575000000,117801.70,117814.80,117801.70,117814.80,36.794,1753575059999,4334648.77540,785,30.823,3631209.10350,0
1753575060000,117814.80,117824.90,117814.70,117824.90,22.453,1753575119999,2645417.24860,588,10.563,1244524.21060,0
1753575120000,117824.80,117824.90,117801.70,117813.10,74.928,1753575179999,8827669.51380,967,29.117,3430302.41150,0
1753575180000,117813.00,117840.80,117803.80,117840.80,68.614,1753575239999,8083740.82620,1280,42.764,5038334.58460,0
1753575240000,117840.70,117869.90,117840.70,117869.90,33.880,1753575299999,3992848.46620,943,29.942,3528743.33890,0
1753575300000,117869.90,117869.90,117869.80,117869.80,8.806,1753575359999,1037962.07970,375,6.209,731854.20910,0
1753575360000,117869.80,117869.90,117865.10,117868.90,25.858,1753575419999,3047829.09770,641,7.257,855357.50720,0
1753575420000,117868.80,117900.20,117868.80,117900.20,21.710,1753575479999,2559273.21970,875,20.823,2454714.54410,0
1753575480000,117900.10,117918.30,117900.10,117918.30,24.414,1753575539999,2878577.11270,885,18.629,2196498.71070,0
1753575540000,117918.30,117920.10,117918.30,117920.10,7.813,1753575599999,921307.50100,393,7.085,835461.76360,0
1753575600000,117920.10,117944.00,117920.00,117931.00,32.516,1753575659999,3834838.35790,741,17.164,2024223.41450,0
1753575660000,117931.00,117931.00,117921.10,117921.20,12.722,1753575719999,1500292.54690,443,2.848,335860.06940,0
1753575720000,117921.20,117921.20,117895.00,117895.00,15.876,1753575779999,1871928.12490,611,2.000,235823.69700,0
1753575780000,117895.00,117895.10,117895.00,117895.00,8.140,1753575839999,959665.64590,295,3.459,407799.15090,0
1753575840000,117895.10,117895.10,117883.10,117883.10,11.843,1753575899999,1396205.01680,513,1.453,171298.11740,0
1753575900000,117883.10,117883.20,117864.60,117864.60,17.998,1753575959999,2121549.14040,606,0.899,105966.93550,0
1753575960000,117864.60,117864.70,117820.40,117820.50,13.228,1753576019999,1558717.90670,701,2.686,316472.15620,0
1753576020000,117820.50,117866.20,117820.40,117866.20,22.901,1753576079999,2698519.95700,952,18.343,2161373.73350,0
1753576080000,117866.20,117866.20,117822.40,117822.40,17.379,1753576139999,2048166.71810,811,0.982,115739.18550,0
1753576140000,117822.40,117822.50,117822.40,117822.50,15.132,1753576199999,1782889.67180,492,11.150,1313720.87500,0
1753576200000,117822.40,117827.00,117822.40,117822.50,17.303,1753576259999,2038721.27290,602,12.284,1447350.02390,0
1753576260000,117822.50,117822.60,117810.00,117810.00,16.852,1753576319999,1985506.56740,582,3.893,458681.15190,0
1753576320000,117810.00,117818.50,117801.70,117818.40,41.132,1753576379999,4845531.16340,902,31.507,3711664.31940,0
1753576380000,117818.40,117863.80,117818.40,117863.80,24.503,1753576439999,2887289.26710,991,22.235,2620026.43930,0
1753576440000,117863.70,117888.10,117863.70,117888.10,19.363,1753576499999,2282532.21660,719,12.599,1485162.84880,0
1753576500000,117888.00,117888.10,117876.90,117877.00,20.206,1753576559999,2381988.41990,542,8.884,1047292.08140,0
1753576560000,117876.90,117877.00,117855.00,117855.00,13.037,1753576619999,1536648.21680,818,5.849,689407.96210,0
1753576620000,117855.10,117855.10,117843.60,117843.60,8.781,1753576679999,1034875.02090,402,4.312,508190.60470,0
1753576680000,117843.60,117851.50,117843.50,117851.50,12.226,1753576739999,1440785.76910,376,10.009,1179513.19520,0
1753576740000,117851.50,117863.30,117851.40,117863.30,7.435,1753576799999,876271.24240,536,6.870,809682.31460,0
1753576800000,117863.30,117863.30,117863.20,117863.30,4.911,1753576859999,578826.59840,402,4.232,498797.48560,0
1753576860000,117863.30,117863.30,117851.60,117851.60,11.864,1753576919999,1398273.88650,440,3.883,457633.16510,0
1753576920000,117851.60,117851.70,117806.20,117806.20,28.387,1753576979999,3344490.78220,753,15.233,1794562.11100,0
1753576980000,117806.20,117814.20,117806.20,117814.10,19.511,1753577039999,2298597.29670,593,11.024,1298735.02100,0
1753577040000,117814.10,117840.40,117814.10,117840.30,12.775,1753577099999,1505215.42360,681,8.010,943784.53910,0
1753577100000,117840.40,117840.40,117840.30,117840.40,5.346,1753577159999,629974.50320,345,2.594,305677.99760,0
1753577160000,117840.30,117840.40,117817.70,117817.70,13.479,1753577219999,1588226.68520,789,4.794,564846.87410,0
1753577220000,117817.80,117817.80,117812.00,117812.10,7.503,1753577279999,883974.55920,383,2.886,340017.21750,0
1753577280000,117812.10,117820.00,117812.00,117819.90,27.662,1753577339999,3258971.18270,536,23.897,2815382.94060,0
1753577340000,117819.90,117830.70,117808.10,117830.70,13.765,1753577399999,1621770.77690,672,8.411,990993.98700,0
1753577400000,117830.70,117848.90,117821.50,117848.90,18.854,1753577459999,2221538.31970,694,12.935,1524118.14730,0
1753577460000,117848.80,117861.00,117848.80,117861.00,10.221,1753577519999,1204558.77210,496,9.928,1170027.81060,0
1753577520000,117861.00,117862.70,117861.00,117862.60,17.677,1753577579999,2083450.27760,471,12.512,1474692.64530,0
1753577580000,117862.70,117884.00,117850.70,117869.50,71.432,1753577639999,8419329.98160,1207,52.958,6241995.76830,0
1753577640000,117869.50,117869.50,117869.40,117869.50,4.033,1753577699999,475367.60660,294,3.164,372939.09800,0
1753577700000,117869.50,117869.50,117856.50,117865.70,19.452,1753577759999,2292637.20030,568,8.640,1018284.16260,0
1753577760000,117865.70,117880.00,117865.60,117880.00,6.867,1753577819999,809413.17260,504,5.798,683411.52720,0
1753577820000,117879.90,117895.70,117879.90,117895.70,11.838,1753577879999,1395548.64830,581,10.923,1287684.03200,0
1753577880000,117895.70,117916.90,117895.60,117916.90,17.003,1753577939999,2004753.48150,681,14.318,1688180.18350,0
1753577940000,117916.90,117931.70,117916.80,117927.20,15.508,1753577999999,1828829.54180,603,9.537,1124663.14400,0
1753578000000,117927.20,117957.40,117927.10,117938.20,43.110,1753578059999,5084621.11070,1088,29.462,3474791.08350,0
1753578060000,117938.20,117938.20,117932.00,117938.10,20.987,1753578119999,2475108.72760,579,14.871,1753801.25250,0
1753578120000,117938.10,117938.10,117910.70,117910.70,8.911,1753578179999,1050786.41960,570,2.218,261530.11770,0
1753578180000,117910.80,117910.80,117903.30,117903.30,5.230,1753578239999,616661.07690,399,2.063,243246.20640,0
1753578240000,117903.30,117903.40,117888.00,117888.10,8.424,1753578299999,993139.04040,455,2.739,322909.76550,0
1753578300000,117888.10,117888.10,117888.00,117888.00,17.173,1753578359999,2024491.62420,431,10.002,1179116.77620,0
