1754438400000000,114129.75000000,114139.38000000,114129.75000000,114129.76000000,3.50940000,1754438459999999,400550.74966550,615,0.76438000,87240.50961970,0
1754438460000000,114129.76000000,114129.76000000,114102.79000000,114102.79000000,6.04023000,1754438519999999,689312.03508730,876,0.35571000,40593.26698850,0
1754438520000000,114102.79000000,114102.80000000,114044.12000000,114044.13000000,9.16936000,1754438579999999,1046010.94217710,1327,0.16098000,18360.72685770,0
1754438580000000,114044.12000000,114093.55000000,114044.12000000,114093.55000000,4.20015000,1754438639999999,479066.06138640,1306,3.18741000,363549.13301360,0
1754438640000000,114093.54000000,114113.17000000,114093.54000000,114099.99000000,2.34337000,1754438699999999,267397.35032480,770,0.63002000,71886.32986080,0
1754438700000000,114099.99000000,114100.00000000,114084.45000000,114089.87000000,2.75416000,1754438759999999,314227.30439740,570,1.08194000,123443.34467230,0
1754438760000000,114089.88000000,114089.88000000,114080.00000000,114082.00000000,4.09185000,1754438819999999,466810.11507130,595,3.50433000,399782.03761910,0
1754438820000000,114081.99000000,114082.00000000,114078.46000000,114078.46000000,0.74613000,1754438879999999,85117.82224120,368,0.10080000,11499.15732510,0
1754438880000000,114078.46000000,114078.46000000,114045.57000000,114045.58000000,2.23560000,1754438939999999,254985.18232810,974,0.18337000,20912.54049740,0
1754438940000000,114045.57000000,114045.58000000,114016.55000000,114034.52000000,4.14449000,1754438999999999,472579.19122020,1553,1.98686000,226553.76550530,0
1754439000000000,114034.52000000,114059.21000000,114023.88000000,114023.89000000,2.39480000,1754439059999999,273119.85452330,1398,0.95239000,108618.25642550,0
1754439060000000,114023.89000000,114036.42000000,114023.88000000,114023.88000000,2.56152000,1754439119999999,292101.03449770,595,0.33865000,38616.61133440,0
1754439120000000,114023.88000000,114023.89000000,113960.03000000,113960.03000000,11.95732000,1754439179999999,1362960.97139130,3257,1.39255000,158729.53198830,0
1754439180000000,113960.03000000,114016.56000000,113955.03000000,114016.56000000,3.30270000,1754439239999999,376479.46081900,1321,2.05295000,233994.37857050,0
1754439240000000,114016.55000000,114049.91000000,114016.55000000,114049.90000000,3.75931000,1754439299999999,428646.44175120,734,3.54497000,404204.01720480,0
1754439300000000,114049.90000000,114049.91000000,114021.56000000,114021.58000000,5.59884000,1754439359999999,638445.56961200,1749,3.27110000,372984.21796880,0
1754439360000000,114021.57000000,114041.11000000,114021.57000000,114041.11000000,1.12105000,1754439419999999,127835.35303620,574,0.80004000,91229.55845910,0
1754439420000000,114041.10000000,114041.11000000,113960.00000000,113960.01000000,14.18067000,1754439479999999,1616749.88267790,2378,3.35609000,382546.93812500,0
1754439480000000,113960.01000000,113960.01000000,113952.60000000,113952.60000000,1.41213000,1754439539999999,160925.11501910,460,0.70232000,80036.27375120,0
1754439540000000,113952.60000000,113997.63000000,113952.60000000,113997.62000000,3.19357000,1754439599999999,363961.38635920,1168,2.12680000,242378.60293390,0
1754439600000000,113997.63000000,114016.55000000,113970.66000000,113970.66000000,3.22943000,1754439659999999,368148.55478550,1661,0.42201000,48109.84149500,0
1754439660000000,113970.66000000,113998.44000000,113970.66000000,113998.43000000,3.32368000,1754439719999999,378850.55765190,918,1.18159000,134679.13775410,0
1754439720000000,113998.43000000,114032.72000000,113998.43000000,114016.56000000,2.17804000,1754439779999999,248352.70739350,1197,1.10350000,125822.95623280,0
1754439780000000,114016.55000000,114016.55000000,114001.00000000,114001.01000000,1.29139000,1754439839999999,147230.07505130,560,0.07670000,8744.21511000,0
1754439840000000,114001.01000000,114001.01000000,113980.00000000,113986.36000000,1.03788000,1754439899999999,118306.71981230,613,0.44941000,51226.37861490,0
1754439900000000,113986.37000000,114000.00000000,113986.37000000,113989.98000000,1.14201000,1754439959999999,130187.92817000,661,0.18465000,21049.05355230,0
1754439960000000,113989.98000000,113989.98000000,113929.53000000,113933.28000000,7.91492000,1754440019999999,902006.40391040,1911,1.64015000,186931.34158560,0
1754440020000000,113933.28000000,113977.40000000,113929.53000000,113929.54000000,1.73322000,1754440079999999,197509.33044000,1861,0.96443000,109906.02915700,0
1754440080000000,113929.54000000,113955.09000000,113929.54000000,113955.09000000,2.11097000,1754440139999999,240533.72340920,495,1.13493000,129311.22271420,0
1754440140000000,113955.08000000,113955.08000000,113928.93000000,113948.54000000,6.59624000,1754440199999999,751598.44920990,1496,4.63516000,528134.79777680,0
1754440200000000,113948.54000000,113948.54000000,113916.00000000,113918.00000000,3.30166000,1754440259999999,376133.37708500,1386,0.47608000,54234.83843080,0
1754440260000000,113918.01000000,113927.74000000,113908.00000000,113908.01000000,4.59840000,1754440319999999,523821.45225500,826,1.96602000,223956.52108080,0
1754440320000000,113908.01000000,113953.81000000,113908.00000000,113930.91000000,1.10430000,1754440379999999,125814.03863630,1708,0.77399000,88177.09799640,0
1754440380000000,113930.91000000,113930.92000000,113900.84000000,113900.84000000,7.68687000,1754440439999999,875718.16059020,790,0.17648000,20102.14679330,0
1754440440000000,113900.85000000,113909.23000000,113882.85000000,113882.86000000,3.21305000,1754440499999999,365962.83752620,1071,0.37683000,42920.86380830,0
1754440500000000,113882.86000000,113894.57000000,113871.31000000,113894.57000000,2.56511000,1754440559999999,292102.85642140,793,1.73865000,197989.20071590,0
1754440560000000,113894.57000000,113950.11000000,113894.57000000,113925.49000000,6.02454000,1754440619999999,686363.36917940,1673,2.47300000,281705.61398290,0
1754440620000000,113925.50000000,113937.11000000,113920.00000000,113937.11000000,5.50075000,1754440679999999,626652.52205170,887,3.41254000,388759.37958440,0
